Time [s],PID,Address,Endpoint,Frame #,Data,CRC
5.121272284000000,SOF,,,0x3DC,,0x05
5.121276332000000,IN,0x12,0x01,,,0x1F
5.121279588000000,DATA1,,,,0xFF 0x55 0x28 0x48 0x37 0x90 0x48 0xF4 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xD2,0x98F4
5.121329928000000,ACK,,,,,
5.122272264000000,SOF,,,0x3DD,,0x1A
5.122275964000000,IN,0x12,0x01,,,0x1F
5.122279216000000,DATA0,,,,0xFF 0x55 0x28 0x49 0x37 0x90 0x49 0xF4 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xD4,0x4A8A
5.122329576000000,ACK,,,,,
5.123272244000000,SOF,,,0x3DE,,0x12
5.123275944000000,IN,0x12,0x01,,,0x1F
5.123279200000000,DATA1,,,,0xFF 0x55 0x28 0x4A 0x37 0x90 0x4A 0xF4 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xD6,0xBA0A
5.123329556000000,ACK,,,,,
5.124272224000000,SOF,,,0x3DF,,0x0D
5.124275904000000,IN,0x12,0x01,,,0x1F
5.124279168000000,DATA0,,,,0xFF 0x55 0x28 0x4B 0x37 0x90 0x4B 0xF4 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xD8,0xAE75
5.124329520000000,ACK,,,,,
5.125272204000000,SOF,,,0x3E0,,0x01
5.125275904000000,IN,0x12,0x01,,,0x1F
5.125279156000000,DATA1,,,,0xFF 0x55 0x28 0x4C 0x37 0x90 0x4C 0xF4 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xDA,0xDD08
5.125329516000000,ACK,,,,,
5.126272184000000,SOF,,,0x3E1,,0x1E
5.126275868000000,IN,0x12,0x01,,,0x1F
5.126279116000000,DATA0,,,,0xFF 0x55 0x28 0x4D 0x37 0x90 0x4D 0xF4 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xDC,0x0F76
5.126329480000000,ACK,,,,,
5.127272164000000,SOF,,,0x3E2,,0x16
5.127275848000000,IN,0x12,0x01,,,0x1F
5.127279096000000,DATA1,,,,0xFF 0x55 0x28 0x4E 0x37 0x90 0x4E 0xF4 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xDE,0xFFF6
5.127329612000000,ACK,,,,,
5.128272144000000,SOF,,,0x3E3,,0x09
5.128275408000000,IN,0x12,0x01,,,0x1F
5.128278656000000,DATA0,,,,0xFF 0x55 0x28 0x4F 0x37 0x90 0x4F 0xF4 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xE0,0xFF89
5.128329092000000,ACK,,,,,
5.129272124000000,SOF,,,0x3E4,,0x06
5.129275908000000,IN,0x12,0x01,,,0x1F
5.129279164000000,DATA1,,,,0xFF 0x55 0x28 0x50 0x38 0x90 0x50 0xF5 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xE4,0x114C
5.129329504000000,ACK,,,,,
5.130272104000000,SOF,,,0x3E5,,0x19
5.130275772000000,IN,0x12,0x01,,,0x1F
5.130279016000000,DATA0,,,,0xFF 0x55 0x28 0x51 0x38 0x90 0x51 0xF5 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xE6,0x0033
5.130329368000000,ACK,,,,,
5.131272084000000,SOF,,,0x3E6,,0x11
5.131275784000000,IN,0x12,0x01,,,0x1F
5.131279036000000,DATA1,,,,0xFF 0x55 0x28 0x53 0x38 0x90 0x53 0xF5 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xEA,0xE4CC
5.131329400000000,ACK,,,,,
5.132272068000000,SOF,,,0x3E7,,0x0E
5.132275748000000,IN,0x12,0x01,,,0x1F
5.132279008000000,DATA0,,,,0xFF 0x55 0x28 0x53 0x38 0x90 0x53 0xF5 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xEA,0xE4CC
5.132329360000000,ACK,,,,,
5.133272044000000,SOF,,,0x3E8,,0x0F
5.133275312000000,IN,0x12,0x01,,,0x1F
5.133278568000000,DATA1,,,,0xFF 0x55 0x28 0x54 0x38 0x90 0x54 0xF5 0x0B 0x28 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0B 0xEC,0x54B0
5.133328924000000,ACK,,,,,
5.134272028000000,SOF,,,0x3E9,,0x10
5.134275724000000,IN,0x12,0x01,,,0x1F
