Time [s],PID,Address,Endpoint,Frame #,Data,CRC
1.751164680000000,SOF,,,0x6CF,,0x00
1.752164660000000,SOF,,,0x6D0,,0x1D
1.753164640000000,SOF,,,0x6D1,,0x02
1.754164620000000,SOF,,,0x6D2,,0x0A
1.755164600000000,SOF,,,0x6D3,,0x15
1.756164580000000,SOF,,,0x6D4,,0x1A
1.757164560000000,SOF,,,0x6D5,,0x05
1.758164540000000,SOF,,,0x6D6,,0x0D
1.759164520000000,SOF,,,0x6D7,,0x12
1.760164500000000,SOF,,,0x6D8,,0x13
1.761164480000000,SOF,,,0x6D9,,0x0C
1.761525524000000,SETUP,0x10,0x00,,,0x1E
1.761528788000000,DATA0,,,,0x00 0x01 0x01 0x00 0x00 0x00 0x00 0x00,0xE5AE
1.761537220000000,ACK,,,,,
1.761542104000000,IN,0x10,0x00,,,0x1E
1.761545364000000,DATA1,,,,,0x0000
1.761548620000000,ACK,,,,,
1.761756072000000,SETUP,0x10,0x00,,,0x1E
1.761759336000000,DATA0,,,,0x21 0x0A 0x00 0x00 0x00 0x00 0x00 0x00,0x20D6
1.761767752000000,ACK,,,,,
1.761772568000000,IN,0x10,0x00,,,0x1E
1.761775824000000,DATA1,,,,,0x0000
1.761779084000000,ACK,,,,,
1.762164464000000,SOF,,,0x6DA,,0x04
1.762167728000000,IN,0x10,0x01,,,0x08
1.762170820000000,NAK,,,,,
1.763164444000000,SOF,,,0x6DB,,0x1B
1.763167708000000,IN,0x10,0x01,,,0x08
1.763170804000000,NAK,,,,,
1.764164424000000,SOF,,,0x6DC,,0x14
1.764169056000000,OUT,0x10,0x01,,,0x08
1.764172320000000,DATA0,,,,0xFF 0x55 0x9E 0xE4 0xCD 0x30 0x54 0x3D 0x03 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xB0 0xF2 0x76 0x00 0x4D 0x13 0x00 0x10 0x06 0xCD 0x00 0x10 0x00 0x00 0x00 0xC0 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x03 0x00 0x00 0x00 0x00 0x00 0x00 0x40 0x00 0x00 0x00 0x00 0xF8 0xCC 0x75 0xD9,0x5BD6
1.764218164000000,ACK,,,,,
1.764220100000000,IN,0x10,0x01,,,0x08
1.764223188000000,NAK,,,,,
1.765164404000000,SOF,,,0x6DD,,0x0B
1.765168620000000,IN,0x10,0x01,,,0x08
1.765171876000000,DATA0,,,,0xFF 0x55 0x30 0xC3 0x46 0xE1 0x5F 0x5A 0x02 0x0F 0x12 0x12 0x12 0x13 0x86 0x42 0x14 0xF0 0xC0 0x03 0x13 0xFF 0x14 0xA1 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0xB0 0xD7,0x63D9
1.765217916000000,ACK,,,,,
1.766164384000000,SOF,,,0x6DE,,0x03
1.766167648000000,IN,0x10,0x01,,,0x08
1.766170744000000,NAK,,,,,
1.767164364000000,SOF,,,0x6DF,,0x1C
1.767167712000000,IN,0x10,0x01,,,0x08
1.767170796000000,NAK,,,,,
1.768164344000000,SOF,,,0x6E0,,0x10
1.768167608000000,IN,0x10,0x01,,,0x08
1.768170708000000,NAK,,,,,
1.769164324000000,SOF,,,0x6E1,,0x0F
1.769167672000000,IN,0x10,0x01,,,0x08
1.769170772000000,NAK,,,,,
1.770164304000000,SOF,,,0x6E2,,0x07
1.770167572000000,IN,0x10,0x01,,,0x08
1.770170668000000,NAK,,,,,
1.771164284000000,SOF,,,0x6E3,,0x18
1.771168900000000,OUT,0x10,0x01,,,0x08
1.771172164000000,DATA1,,,,0xFF 0x55 0x9E 0xE4 0xCD 0x30 0x54 0x3D 0x05 0x00 0x00 0x00 0x7C 0xFA 0x85 0x04 0x50 0x61 0xDF 0x00 0xD0 0x2E 0x73 0x28 0xFE 0xFF 0xFF 0xFF 0x4B 0x4F 0xDF 0x00 0x9F 0xF1 0xDE 0x00 0x10 0x76 0x9C 0x02 0xF8 0xFA 0x85 0x04 0x18 0x21 0xDD 0x00 0x10 0x76 0x9C 0x02 0xB0 0x40 0x17 0x2C 0x28 0xF3 0x76 0x00 0x01 0x00 0xAD 0x11,0x1BCA
1.771218588000000,ACK,,,,,
1.771220512000000,IN,0x10,0x01,,,0x08
1.771223616000000,NAK,,,,,
1.772164264000000,SOF,,,0x6E4,,0x17
1.772168480000000,IN,0x10,0x01,,,0x08
